STT,Thành_ngữ_Tiếng_Việt,Thành_ngữ_Tiếng_Anh,Bối_cảnh,Hành_động,Kết_quả,Mục_đích,Giải_thích_nghĩa
37,Im_lặng_là_vàng,Silence_is_golden,BC_Giao_tiếp,HD_Kìm_nén_cảm_xúc,KQ_An_toàn,MD_Bảo_vệ_bản_thân,Giữ im lặng trong nhiều tình huống là cách ứng xử khôn khéo và an toàn nhất.
38,Thấy_mới_tin,Seeing_is_believing,BC_Nhận_thức,,KQ_Xác_nhận_sự_thật,,Tận mắt chứng kiến thì mới tin là có thật.
39,Lời_nói_đã_thốt_ra_như_mũi_tên_đã_bắn,A_word_spoken_is_past_recalling,BC_Giao_tiếp,,KQ_Hối_hận,,"Lời nói đã thốt ra thì không thể rút lại, cần suy nghĩ kỹ trước khi nói."
40,Gừng_càng_già_càng_cay,Experience_is_the_mother_of_wisdom,BC_Đánh_giá,,KQ_Tích_lũy_kinh_nghiệm,,"Người càng có tuổi, càng nhiều kinh nghiệm thì càng khôn khéo, sắc sảo."
41,Đồng_tiền_liền_khúc_ruột,Charity_begins_at_home,BC_Thương_mại,,,MD_Bảo_vệ_tài_sản,Tiền bạc do chính sức mình làm ra luôn gắn liền với tâm huyết và sự trân trọng.
42,Đoàn_kết_là_sức_mạnh,United_we_stand_divided_we_fall,BC_Đối_nhân_xử_thế,HD_Đồng_lòng,KQ_Thành_công,,"Hợp lực đoàn kết thì sẽ vững mạnh, chia rẽ thì sẽ thất bại."
43,Bút_sa_gà_chết,What_is_written_remains,BC_Giao_tiếp,,KQ_Hối_hận,,"Giấy trắng mực đen đã ký/viết ra thì có giá trị ràng buộc, không thể chối bỏ."
44,Biết_người_biết_ta_trăm_trận_trăm_thắng,Know_yourself_and_know_your_enemy,BC_Xung_đột,,KQ_Thành_công,MD_Giải_quyết_vấn_đề,Hiểu rõ năng lực của bản thân và đối thủ thì làm việc gì cũng thành công.
45,Chậm_mà_chắc,Slow_and_steady_wins_the_race,BC_Thực_thi_mục_tiêu,HD_Kiên_nhẫn,KQ_Thành_công,,"Làm việc kiên trì, vững chắc dù chậm vẫn tốt hơn vội vã mà hỏng việc."
46,Tham_thì_thâm,Grasp_all_lose_all,BC_Cảm_xúc,HD_Tham_lam,KQ_Tổn_thất_tài_sản,,"Quá tham lam, muốn chiếm trọn mọi thứ thì kết cục lại mất trắng."
47,Tre_già_măng_mọc,As_the_old_cock_crows_the_young_cock_learns,BC_Gia_đình,HD_Bắt_chước,,,Thế hệ trước già đi thì thế hệ sau kế thừa và phát triển.
48,Uống_nước_nhớ_nguồn,Never_forget_the_well_you_drank_from,BC_Đạo_đức,,KQ_Gắn_kết,,"Luôn nhớ ơn và trân trọng những người đã giúp đỡ, tạo dựng thành quả cho mình."
49,Có_chí_thì_nên,Where_there's_a_will_there's_a_way,BC_Thực_thi_mục_tiêu,HD_Nỗ_lực,KQ_Thành_công,,Có quyết tâm và ý chí kiên cường thì mọi khó khăn đều tìm ra giải pháp.
50,Đốt_cầu_rút_ván,Burn_one's_bridges,BC_Xung_đột,HD_Liều_lĩnh,KQ_Mất_quan_hệ,,Tự cắt đứt đường lùi hoặc phá hỏng mối quan hệ khiến không thể quay lại.
51,Đi_một_ngày_đàng_học_một_sàng_khôn,Travel_broadens_the_mind,BC_Lao_động,,KQ_Tích_lũy_tri_thức,,"Đi nhiều nơi, trải nghiệm nhiều giúp mở rộng tầm mắt và hiểu biết."
52,Ác_giả_ác_báo,What_goes_around_comes_around,BC_Đạo_đức,HD_Tấn_công,KQ_Gieo_tai_họa,,Hành vi xấu xa hay độc ác rồi sẽ quay lại gây hậu quả cho chính mình.
53,Không_có_gì_là_mãi_mãi,All_good_things_must_come_to_an_end,BC_Cuộc_sống,,KQ_Kết_thúc,,Mọi điều tốt đẹp hay sự việc trên đời đều có lúc kết thúc.
54,Tốt_gỗ_hơn_tốt_nước_sơn,Beauty_is_only_skin_deep,BC_Đánh_giá,,KQ_Trân_trọng_bản_chất,,Giá trị đạo đức và phẩm chất bên trong quan trọng hơn vẻ bề ngoài.
55,Không_làm_mà_đòi_có_ăn,No_pain_no_gain,BC_Lao_động,HD_Nỗ_lực,KQ_Thành_công,,Muốn có thành quả thì phải bỏ sức lao động và chấp nhận gian khổ.
56,Lạt_mềm_buộc_chặt,A_soft_answer_turneth_away_wrath,BC_Giao_tiếp,HD_Kìm_nén_cảm_xúc,KQ_Đạt_được_thỏa_thuận,MD_Giải_quyết_vấn_đề,"Ứng xử mềm mỏng, nhẫn nại thường đạt hiệu quả cao hơn cứng rắn."
57,Mèo_mù_vớ_cá_rán,Even_a_blind_squirrel_finds_a_nut_once_in_a_while,BC_Sự_kiện_hiếm,,KQ_May_mắn,,May mắn bất ngờ đạt được thành quả mà không do năng lực.
58,Ăn_quả_nhớ_kẻ_trồng_cây,Show_gratitude_to_your_benefactors,BC_Đạo_đức,,KQ_Gắn_kết,,Hưởng thành quả thì phải ghi nhớ và biết ơn người đã tạo ra nó.
59,Được_mùa_chê_khoai,When_good_times_come_don't_forget_hard_times,BC_Cảm_xúc,HD_Tham_lam,,,Khi kiêu ngạo sung túc thì coi thường những thứ bình dị đã giúp mình vượt khó.
60,Sài_tiền_như_nước,Spend_money_like_water,BC_Thương_mại,HD_Tiêu_xài_hoang_phí,KQ_Tổn_thất_tài_sản,,Tiêu xài phung phí tiền bạc không tính toán.
61,Khổ_tận_cam_lai,After_a_storm_comes_a_calm,BC_Cuộc_sống,,KQ_Bình_yên,,"Hết giai đoạn gian khổ cực nhọc sẽ đến lúc sung sướng, bình yên."
62,Chưa_học_bò_đã_lo_học_chạy,You_must_walk_before_you_can_run,BC_Lao_động,,KQ_Thất_bại,,Phải nắm vững kiến thức cơ bản trước khi làm việc nâng cao.
63,Bệnh_từ_miệng_vào_họa_từ_miệng_ra,A_close_mouth_catches_no_flies,BC_Giao_tiếp,HD_Kìm_nén_cảm_xúc,KQ_An_toàn,MD_Bảo_vệ_bản_thân,"Nói năng thiếu suy nghĩ dễ gây tai họa, ăn uống không cẩn thận dễ sinh bệnh."
64,Nói_thì_dễ_làm_thì_khó,Easier_said_than_done,BC_Thực_thi_mục_tiêu,,KQ_Gặp_trở_ngại,,"Việc phát ngôn hay đưa ý kiến thì dễ, nhưng khi thực hiện mới thấy nhiều trở ngại."
65,Nhất_cự_cụ_nhất_thời,Strike_while_the_iron_is_hot,BC_Cơ_hội,HD_Nắm_bắt,KQ_Thành_công,,Hãy hành động ngay khi cơ hội tốt xuất hiện.
66,Đầu_xuôi_đuôi_lọt,A_good_beginning_makes_a_good_ending,BC_Thực_thi_mục_tiêu,,KQ_Thành_công,,Chặng đầu khởi sự thuận lợi thì các bước sau cũng dễ dàng hoàn thành.
67,Hoàn_cảnh_tạo_nên_con_người,Circumstances_make_the_man,BC_Cuộc_sống,,KQ_Hình_thành_nhân_cách,,"Môi trường và hoàn cảnh sống rèn luyện nên tính cách, bản lĩnh con người."
68,Xa_mặt_cách_lòng,Out_of_sight_out_of_mind,BC_Đối_nhân_xử_thế,,KQ_Mất_quan_hệ,,Không gặp nhau thường xuyên thì tình cảm dễ phai nhạt.
69,Cẩn_thận_khi_phát_ngôn,Think_today_speak_tomorrow,BC_Giao_tiếp,,KQ_Hối_hận,,Cần cẩn trọng suy nghĩ kỹ trước khi quyết định viết hoặc phát ngôn.
70,Trèo_cao_ngã_đau,The_higher_you_climb_the_harder_you_fall,BC_Rủi_ro,HD_Liều_lĩnh,KQ_Tổn_thương,,Càng tham vọng leo cao quá sức thì khi thất bại càng chịu thiệt hại nặng nề.
71,Mỗi_người_mỗi_ý,So_many_men_so_many_minds,BC_Giao_tiếp,,KQ_Khác_biệt_quan_điểm,,"Mỗi người có một góc nhìn, suy nghĩ và quan điểm riêng."
72,Kẻ_cắp_gặp_bà_già_bằng_mới,Diamond_cut_diamond,BC_Xung_đột,,KQ_Bị_khống_chế,,Kẻ ranh ma lọc lõi gặp đối thủ còn cao tay hơn mình.
73,Có_mới_nới_cũ,Out_with_the_old_in_with_the_new,BC_Đối_nhân_xử_thế,HD_Lợi_dụng,KQ_Mất_quan_hệ,,"Có cái mới, bạn mới thì bỏ rơi, lạnh nhạt với cái cũ, người cũ."
74,Tích_tiểu_thành_đại,Many_a_little_makes_a_mickle,BC_Lao_động,HD_Kiên_nhẫn,KQ_Thành_công,,Gom góp những thứ nhỏ nhặt lâu dần sẽ thành thành quả lớn.
75,Cha_nào_con_nấy,Like_father_like_son,BC_Gia_đình,HD_Bắt_chước,,,"Con cái thường thừa hưởng tính cách, thói quen từ cha."
76,Đánh_kẻ_chạy_đi_không_ai_đánh_người_chạy_lại,To_err_is_human_to_forgive_divine,BC_Đạo_đức,,KQ_Gắn_kết,MD_Hòa_giải,"Bao dung, vị tha với người biết nhận lỗi và sửa chữa sai lầm."
77,Không_ai_hoàn_hảo,Nobody's_perfect,BC_Cuộc_sống,,KQ_Tồn_tại_khuyết_điểm,,"Con người ai cũng có sai sót, không ai hoàn toàn hoàn hảo."
78,Tiền_rải_phong_bì,Money_talks,BC_Thương_mại,,KQ_Thành_công,,Tiền bạc có sức ảnh hưởng và quyền lực tác động mạnh mẽ.
79,Cẩn_tắc_vô_ưu,Better_safe_than_sorry,BC_Nguy_hiểm,HD_Đối_mặt,KQ_An_toàn,MD_Bảo_vệ_bản_thân,Cẩn thận phòng ngừa trước thì không phải lo lắng hay hối hận về sau.
80,Hùm_chết_để_da_người_ta_chết_để_tiếng,A_good_name_is_better_than_riches,BC_Đạo_đức,,KQ_Lưu_danh_hậu_thế,,Danh tiếng và nhân cách tốt đẹp sẽ còn lưu lại mãi sau khi qua đời.
81,Mười_người_mười_ý,There's_no_accounting_for_tastes,BC_Giao_tiếp,,KQ_Khác_biệt_quan_điểm,,"Sở thích và gu thẩm mỹ của mỗi người rất đa dạng, không ai giống ai."
82,Đời_không_như_là_mơ,Life_is_not_a_bed_of_roses,BC_Cuộc_sống,,KQ_Đối_mặt_thực_tế,,"Thực tế cuộc sống có nhiều khó khăn, chông gai chứ không toàn màu hồng."
83,Phòng_bệnh_hơn_chữa_bệnh,Prevention_is_better_than_cure,BC_Bệnh_tật,,KQ_An_toàn,MD_Bảo_vệ_bản_thân,Chủ động phòng ngừa nguy cơ tốt hơn là đợi sự việc xảy ra mới đi cứu chữa.
84,Thất_bại_là_mẹ_thành_công,Failure_is_the_mother_of_success,BC_Thực_thi_mục_tiêu,,KQ_Thành_công,,Rút kinh nghiệm từ những lần thất bại sẽ giúp tiến tới thành công.
85,Của_rẻ_là_của_ôi,Cheap_things_are_not_good,BC_Thương_mại,,KQ_Tổn_thất_tài_sản,,Hàng hóa quá rẻ thường đi kèm với chất lượng kém.
86,Gắp_lửa_bỏ_bàn_tay_người,Shift_the_blame_to_others,BC_Giao_tiếp,HD_Lợi_dụng,KQ_Mất_quan_hệ,MD_Né_tránh_trách_nhiệm,"Vu khống, đổ tội lỗi hay khó khăn của mình sang cho người khác chịu."
87,An_cư_lạc_nghiệp,Settle_down_and_thrive,BC_Sinh_hoạt,,KQ_Bình_yên,,Ổn định chỗ ở và cuộc sống gia đình thì mới tập trung phát triển sự nghiệp.
88,Chớ_thấy_sóng_cả_mà_ngã_tay_chèo,Don't_give_up_the_ship,BC_Thực_thi_mục_tiêu,HD_Kiên_nhẫn,,,"Không được nản lòng, buông xuôi khi gặp sóng gió hay thử thách lớn."
89,Kẻ_thù_của_kẻ_thù_là_bạn,The_enemy_of_my_enemy_is_my_friend,BC_Xung_đột,,KQ_Gắn_kết,,Những người cùng có chung một đối thủ thì dễ liên minh hợp tác.
90,Lời_chào_cao_hơn_mâm_cỗ,Politeness_costs_nothing_and_gains_everything,BC_Đối_nhân_xử_thế,,KQ_Gắn_kết,MD_Giao_hảo,"Lễ độ, lịch sự trong ứng xử quý giá hơn vật chất dâng cúng."
91,Bào_chữa_cho_hành_vi,The_end_justifies_the_means,BC_Thực_thi_mục_tiêu,HD_Liều_lĩnh,,MD_Giải_quyết_vấn_đề,Dùng bất kỳ thủ đoạn nào miễn là đạt được mục đích cuối cùng.
92,Nói_trước_bước_không_qua,Don't_count_your_chickens_before_they're_hatched,BC_Rủi_ro,HD_Thổi_phồng,KQ_Thất_bại,,Không nên vội vã đắc ý hay khẳng định kết quả khi công việc chưa hoàn thành.
93,Ai_làm_nấy_chịu,As_you_make_your_bed_so_you_must_lie_on_it,BC_Đạo_đức,,KQ_Gieo_tai_họa,,Bản thân gây ra quyết định hay lỗi lầm nào thì phải tự gánh chịu hậu quả.
94,Thuận_vợ_thuận_chồng_tát_biển_đông_cũng_cạn,Harmony_in_the_family_brings_success,BC_Gia_đình,HD_Đồng_lòng,KQ_Thành_công,,"Vợ chồng đồng lòng, hòa thuận thì việc khó khăn mấy cũng vượt qua."
95,Nuôi_ong_tay_áo,Nourish_a_viper_in_one's_bosom,BC_Đối_nhân_xử_thế,HD_Lợi_dụng,KQ_Gieo_tai_họa,,"Cưu mang, giúp đỡ kẻ phản trác để rồi bị nó quay lại gây hại."
96,Khéo_ăn_thì_no_khéo_co_thì_ấm,Cut_your_coat_according_to_your_cloth,BC_Sinh_hoạt,,KQ_Bình_yên,,"Biết liệu sức, chi tiêu và thu vén khéo léo theo đúng hoàn cảnh của mình."
97,Vào_sinh_ra_tử,Go_through_fire_and_water,BC_Nguy_hiểm,HD_Đối_mặt,KQ_An_toàn,,"Cùng trải qua nhiều gian nan, hiểm nguy tính mạng bên nhau."
98,Tiền_vào_như_nước,Pour_in_money,BC_Thương_mại,,KQ_Thành_công,,"Tiền bạc, tài lộc thu về nhiều và liên tục."
99,Nắng_mưa_là_bệnh_của_trời,Weather_is_unpredictable,BC_Sự_kiện_hiếm,,KQ_Ngoại_cảnh_chi_phối,,Hiện tượng tự nhiên biến đổi thất thường là quy luật ngoài tầm kiểm soát.
100,Sống_mỗi_ngày_như_ngày_cuối_cùng,Live_each_day_as_if_it_were_your_last,BC_Cuộc_sống,HD_Nỗ_lực,KQ_Bình_yên,,"Sống trọn vẹn, ý nghĩa từng khoảnh khắc không để hoãng phí thời gian."
