English,Vietnamese,Boi_canh,Hanh_dong,Ket_qua,Muc_dich
Curiosity_killed_the_cat,Tò_mò_hại_thân,BC_Bảo_mật,HD_Liều_lĩnh,KQ_Tổn_thương,MD_Thỏa_mãn_tò_mò
Dont_judge_a_book_by_its_cover,Xanh_vỏ_đỏ_lòng,BC_Đánh_giá,HD_Đánh_giá_sai,KQ_Thất_bại,MD_Thể_hiện
Every_cloud_has_a_silver_lining,Trong_cái_rủi_có_cái_may,BC_Nguy_hiểm,HD_Đối_mặt,KQ_May_mắn,MD_Giải_quyết_vấn_đề
Hit_the_nail_on_the_head,Nói_trúng_tim_đen,BC_Giao_tiếp,HD_Tấn_công,KQ_Lộ_tẩy,MD_Tìm_kiếm_sự_thật
Kill_two_birds_with_one_stone,Một_mũi_tên_trúng_hai_đích,BC_Thực_thi_mục_tiêu,HD_Nắm_bắt,KQ_Tối_ưu_hóa,MD_Tiết_kiệm
Once_in_a_blue_moon,Năm_thì_mười_họa,BC_Sự_kiện_hiếm,HD_Chờ_đợi_mỏi_mòn,KQ_Hiếm_khi_xảy_ra,MD_Nhấn_mạnh_sự_hiếm_hoi
Burn_the_candle_at_both_ends,Bán_mạng_kiếm_tiền,BC_Thực_thi_mục_tiêu,HD_Làm_việc_quá_sức,KQ_Kiệt_sức,MD_Trục_lợi
Miss_the_boat,Để_lỡ_chuyến_đò,BC_Cơ_hội,HD_Trì_hoãn,KQ_Mất_cơ_hội,MD_Né_tránh_trách_nhiệm
A_blessing_in_disguise,Tái_ông_thất_mã,BC_Nguy_hiểm,HD_Đối_mặt,KQ_May_mắn,MD_Bảo_vệ_bản_thân
Cut_corners,Làm_dối_làm_ẩu,BC_Thực_thi_mục_tiêu,HD_Che_giấu,KQ_Thất_bại,MD_Tiết_kiệm
Get_out_of_hand,Mất_kiểm_soát,BC_Xung_đột,HD_Liều_lĩnh,KQ_Tổn_thất_tài_sản,MD_Phá_rối
Hang_in_there,Có_công_mài_sắt_có_ngày_nên_kim,BC_Thực_thi_mục_tiêu,HD_Kiên_nhẫn,KQ_Thành_công,MD_Giải_quyết_vấn_đề
Ignorance_is_bliss,Ngu_si_hưởng_thái_bình,BC_Nhận_thức,HD_Phớt_lờ,KQ_Bình_yên,MD_Bảo_vệ_bản_thân
Let_sleeping_dogs_lie,Chớ_đụng_vào_tổ_kiến_lửa,BC_Rủi_ro,HD_Né_tránh,KQ_An_toàn,MD_Bảo_vệ_bản_thân
On_the_ball,Nhanh_như_chớp,BC_Thực_thi_mục_tiêu,HD_Nắm_bắt,KQ_Thành_công,MD_Giải_quyết_vấn_đề
Pull_someones_leg,Trêu_hoa_ghẹo_nguyệt,BC_Giao_tiếp,HD_Tấn_công,KQ_Bất_ngờ,MD_Gây_chú_ý
Time_is_money,Thời_gian_là_vàng_bạc,BC_Thương_mại,HD_Nắm_bắt,KQ_Thành_công,MD_Trục_lợi
Under_the_weather,Trái_gió_trở_trời,BC_Bệnh_tật,HD_Chấp_nhận,KQ_Kiệt_sức,MD_Bảo_vệ_sức_khỏe
Bite_the_hand_that_feeds_you,Ăn_cháo_đá_bát,BC_Đối_nhân_xử_thế,HD_Lợi_dụng,KQ_Mất_quan_hệ,MD_Trục_lợi
Burn_your_bridges,Qua_cầu_rút_ván,BC_Đối_nhân_xử_thế,HD_Lợi_dụng,KQ_Mất_quan_hệ,MD_Trục_lợi
Actions_speak_louder_than_words,Nói_ít_làm_nhiều,BC_Đối_nhân_xử_thế,HD_Nỗ_lực,KQ_Thành_công,MD_Thể_hiện
Add_insult_to_injury,Xát_muối_vào_lòng,BC_Xung_đột,HD_Tấn_công,KQ_Tổn_thương,MD_Hạ_bệ
A_piece_of_cake,Dễ_như_trở_bàn_tay,BC_Thực_thi_mục_tiêu,HD_Đối_mặt,KQ_Thành_công,MD_Giải_quyết_vấn_đề
Back_to_the_drawing_board,Làm_lại_từ_đầu,BC_Thực_thi_mục_tiêu,HD_Kiên_nhẫn,KQ_Thất_bại,MD_Giải_quyết_vấn_đề
Bite_the_bullet,Ngậm_đắng_nuốt_cay,BC_Cảm_xúc,HD_Chấp_nhận,KQ_Tổn_thương,MD_Bảo_vệ_bản_thân
Break_the_ice,Mở_lời_trước,BC_Giao_tiếp,HD_Đối_mặt,KQ_Đạt_được_thỏa_thuận,MD_Giải_quyết_vấn_đề
Call_it_a_day,Biết_đủ_là_đủ,BC_Sinh_hoạt,HD_Dừng_lại_đúng_lúc,KQ_Bình_yên,MD_Bảo_vệ_sức_khỏe
Wrap_your_head_around_something,Vắt_óc_suy_nghĩ,BC_Nhận_thức,HD_Nỗ_lực,KQ_Thành_công,MD_Tìm_kiếm_sự_thật
Your_guess_is_as_good_as_mine,Chịu_chết,BC_Nhận_thức,HD_Né_tránh,KQ_Thất_bại,MD_Né_tránh_trách_nhiệm
You_can_say_that_again,Chuẩn_không_cần_chỉnh,BC_Giao_tiếp,HD_Đồng_thuận,KQ_Thành_công,MD_Làm_vừa_lòng_người_khác
