English,Vietnamese,Boi_canh,Hanh_dong,Ket_qua,Muc_dich
Curiosity_killed_the_cat,Tò_mò_hại_thân,BC_Bảo_mật,HD_Liều_lĩnh,KQ_Tổn_thương,MD_Thỏa_mãn_tò_mò
Dont_judge_a_book_by_its_cover,Xanh_vỏ_đỏ_lòng,BC_Đánh_giá,HD_Đánh_giá_sai,KQ_Thất_bại,MD_Thể_hiện
Every_cloud_has_a_silver_lining,Trong_cái_rủi_có_cái_may,BC_Nguy_hiểm,HD_Đối_mặt,KQ_May_mắn,MD_Giải_quyết_vấn_đề
Hit_the_nail_on_the_head,Nói_trúng_tim_đen,BC_Giao_tiếp,HD_Tấn_công,KQ_Lộ_tẩy,MD_Tìm_kiếm_sự_thật
Kill_two_birds_with_one_stone,Một_mũi_tên_trúng_hai_đích,BC_Thực_thi_mục_tiêu,HD_Nắm_bắt,KQ_Tối_ưu_hóa,MD_Tiết_kiệm
Once_in_a_blue_moon,Năm_thì_mười_họa,BC_Sự_kiện_hiếm,HD_Chờ_đợi_mỏi_mòn,KQ_Hiếm_khi_xảy_ra,MD_Nhấn_mạnh_sự_hiếm_hoi
Actions_speak_louder_than_words,Nói_ít_làm_nhiều,BC_Đối_nhân_xử_thế,HD_Nỗ_lực,KQ_Thành_công,MD_Thể_hiện
Add_insult_to_injury,Xát_muối_vào_lòng,BC_Xung_đột,HD_Tấn_công,KQ_Tổn_thương,MD_Hạ_bệ
A_piece_of_cake,Dễ_như_trở_bàn_tay,BC_Thực_thi_mục_tiêu,HD_Đối_mặt,KQ_Thành_công,MD_Giải_quyết_vấn_đề
Back_to_the_drawing_board,Làm_lại_từ_đầu,BC_Thực_thi_mục_tiêu,HD_Kiên_nhẫn,KQ_Thất_bại,MD_Giải_quyết_vấn_đề
Bite_the_bullet,Ngậm_đắng_nuốt_cay,BC_Cảm_xúc,HD_Chấp_nhận,KQ_Tổn_thương,MD_Bảo_vệ_bản_thân
Break_the_ice,Mở_lời_trước,BC_Giao_tiếp,HD_Đối_mặt,KQ_Đạt_được_thỏa_thuận,MD_Giải_quyết_vấn_đề
Call_it_a_day,Nghỉ_ngơi_sớm,BC_Sinh_hoạt,HD_Dừng_lại_đúng_lúc,KQ_Bình_yên,MD_Bảo_vệ_sức_khỏe
Cut_corners,Làm_dối_làm_ẩu,BC_Thực_thi_mục_tiêu,HD_Che_giấu,KQ_Thất_bại,MD_Tiết_kiệm
Get_out_of_hand,Mất_kiểm_soát,BC_Xung_đột,HD_Liều_lĩnh,KQ_Tổn_thất_tài_sản,MD_Phá_rối
Hang_in_there,Cố_gắng_lên,BC_Thực_thi_mục_tiêu,HD_Kiên_nhẫn,KQ_Thành_công,MD_Bảo_vệ_bản_thân
Ignorance_is_bliss,Ngu_si_hưởng_thái_bình,BC_Nhận_thức,HD_Phớt_lờ,KQ_Bình_yên,MD_Bảo_vệ_bản_thân
Leave_no_stone_unturned,Lật_tung_mọi_thứ,BC_Thực_thi_mục_tiêu,HD_Nỗ_lực,KQ_Thành_công,MD_Tìm_kiếm_sự_thật
Let_sleeping_dogs_lie,Chớ_đụng_vào_tổ_kiến_lửa,BC_Rủi_ro,HD_Né_tránh,KQ_An_toàn,MD_Bảo_vệ_bản_thân
Make_a_long_story_short,Nói_tóm_lại,BC_Giao_tiếp,HD_Tối_giản_hóa,KQ_Tối_ưu_hóa,MD_Tiết_kiệm
Miss_the_boat,Để_lỡ_chuyến_đò,BC_Cơ_hội,HD_Trì_hoãn,KQ_Mất_cơ_hội,MD_Né_tránh_trách_nhiệm
No_pain_no_gain,Có_làm_mới_có_ăn,BC_Thực_thi_mục_tiêu,HD_Nỗ_lực,KQ_Thành_công,MD_Trục_lợi
On_the_ball,Nhanh_nhẹn_nhạy_bén,BC_Thực_thi_mục_tiêu,HD_Nắm_bắt,KQ_Thành_công,MD_Giải_quyết_vấn_đề
Pull_someones_leg,Nói_đùa_cho_vui,BC_Giao_tiếp,HD_Tấn_công,KQ_Bất_ngờ,MD_Gây_chú_ý
Pull_yourself_together,Bình_tĩnh_lại,BC_Cảm_xúc,HD_Kìm_nén_cảm_xúc,KQ_Bình_yên,MD_Bảo_vệ_bản_thân
Speak_of_the_devil,Nhắc_Tào_Tháo_Tào_Tháo_đến,BC_Giao_tiếp,HD_Đồng_thuận,KQ_Bất_ngờ,MD_Thỏa_mãn_tò_mò
Take_it_with_a_grain_of_salt,Bán_tín_bán_nghi,BC_Đánh_giá,HD_Chấp_nhận,KQ_An_toàn,MD_Bảo_vệ_bản_thân
The_best_of_both_worlds,Vẹn_cả_đôi_đường,BC_Sinh_hoạt,HD_Nắm_bắt,KQ_Tối_ưu_hóa,MD_Tiết_kiệm
Time_is_money,Thời_gian_là_vàng_bạc,BC_Thương_mại,HD_Nắm_bắt,KQ_Thành_công,MD_Trục_lợi
Under_the_weather,Trái_gió_trở_trời,BC_Bệnh_tật,HD_Chấp_nhận_số_phận,KQ_Kiệt_sức,MD_Bảo_vệ_sức_khỏe
Wrap_your_head_around_something,Vắt_óc_suy_nghĩ,BC_Nhận_thức,HD_Nỗ_lực,KQ_Thành_công,MD_Tìm_kiếm_sự_thật
You_can_say_that_again,Chuẩn_không_cần_chỉnh,BC_Giao_tiếp,HD_Đồng_thuận,KQ_Thành_công,MD_Làm_vừa_lòng_người_khác
Your_guess_is_as_good_as_mine,Chịu_chết,BC_Nhận_thức,HD_Né_tránh,KQ_Thất_bại,MD_Né_tránh_trách_nhiệm
A_blessing_in_disguise,Trong_cái_rủi_có_cái_may,BC_Nguy_hiểm,HD_Đối_mặt,KQ_May_mắn,MD_Bảo_vệ_bản_thân
Better_late_than_never,Méo_mó_có_hơn_không,BC_Hậu_quả,HD_Chấp_nhận,KQ_Thành_công,MD_Giải_quyết_vấn_đề
Bite_the_hand_that_feeds_you,Ăn_cháo_đá_bát,BC_Đối_nhân_xử_thế,HD_Lợi_dụng,KQ_Mất_quan_hệ,MD_Trục_lợi
